Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	upper lid raiser	lid tightener	head up/down	head forward/back	head left/right	head tilt left/right	torso forward/back	torso left/right	torso up/down	torso tilt left/right	brow raise	closed eyes	brow lowerer	head nod	TORSO UP/DOWN FUNCTIONS M	TORSO FORWARD/BACK FUNCTIONS M	TORSO LEFT/RIGHT FUNCTIONS M	TORSO TILT left/right FUNCTIONS M	HEAD NOD FUNCTIONS M	HEAD UP/DOWN FUNCTIONS M	HEAD FORWARD/BACK FUNCTIONS M	HEAD LEFT/RIGHT FUNCTIONS M	HEAD TILT LEFT/RIGHT FUNCTIONS M	BROW RAISE FUNCTIONS M	BROW LOWERER FUNCTIONS M	CLOSED EYES FUNCTIONS M	UPPER LID RAISER FUNCTIONS M	LID TIGHTENER FUNCTIONS M	
00:02:05.234	125.234	00:02:05.552	125.552	00:00:00.318	0.318			down			right	back			right						NF		TEMPORAL???		COMMENT??			coordination/contrast					
00:02:07.468	127.468	00:02:07.988	127.988	00:00:00.520	0.52							forward									BREAK												
00:02:08.017	128.017	00:02:08.497	128.497	00:00:00.480	0.48					right		back									NF						AGREEMENT WITH SPACE						
00:02:22.054	142.054	00:02:22.651	142.651	00:00:00.597	0.597	c					right	forward	right								LEXICAL?	NF						coordination/contrast				EMPHASIS	
00:02:22.679	142.679	00:02:23.121	143.121	00:00:00.442	0.442						right	back	left x								NF	AGREEMENT WITH SPACE						coordination/contrast					
00:02:23.716	143.716	00:02:25.697	145.697	00:00:01.981	1.981						right	forward	left								IP BOUNDARY	AGREEMENT WITH SPACE						coordination/contrast					
00:02:25.716	145.716	00:02:26.389	146.389	00:00:00.673	0.673							back	left								NF	AGREEMENT WITH SPACE											
00:02:45.467	165.467	00:02:46.188	166.188	00:00:00.721	0.721	b						back			left						EMPHASIS		AGREEMENT WITH SPACE									EMPHASIS	
00:02:46.202	166.202	00:02:46.654	166.654	00:00:00.452	0.452	b						forward			right						TOPIC		TOPIC									EMPHASIS	
00:00:47.883	47.883	00:00:48.681	48.681	00:00:00.798	0.798						left		left									EASE OF PRODUCTION/CONTRAST						CONTRAST					
00:00:48.695	48.695	00:00:49.407	49.407	00:00:00.712	0.712								right									CONTRAST											
00:00:52.913	52.913	00:00:55.393	55.393	00:00:02.480	2.48								left	up						EMPHASIS		AGREEMENT WITH SPACE											
00:00:55.412	55.412	00:00:55.972	55.972	00:00:00.560	0.56								right	down						NF		NF											
00:00:58.483	58.483	00:01:00.742	60.742	00:00:02.259	2.259								left									AGREEMENT WITH SPACE											
00:01:00.742	60.742	00:01:11.289	71.289	00:00:10.547	10.547								left x									AGREEMENT WITH SPACE											
00:01:19.267	79.267	00:01:19.827	79.827	00:00:00.560	0.56								left					b				AGREEMENT WITH SPACE								EMPHASIS			
00:01:19.855	79.855	00:01:20.255	80.255	00:00:00.400	0.4	b							right					b				NF								EMPHASIS		SHARED INFORMATION (NOT QUITE, BUT SHE'S MAKING SURE HE KNOWS WHAT SHE'S TALKING ABOUT...?)	
00:01:25.492	85.492	00:01:28.415	88.415	00:00:02.923	2.923								right									CONTRAST											
00:01:28.434	88.434	00:01:29.164	89.164	00:00:00.730	0.73						left		left					c				CONTRAST						AGREEMENT WITH SPACE		CONTRAST			
00:02:08.865	128.865	00:02:11.365	131.365	00:00:02.500	2.5								left									AGREEMENT WITH SPACE											
00:02:11.375	131.375	00:02:12.077	132.077	00:00:00.702	0.702								right									NF											
00:02:22.654	142.654	00:02:23.491	143.491	00:00:00.837	0.837						right		left x									AGREEMENT WITH SPACE						coordination/contrast					
00:02:23.514	143.514	00:02:35.273	155.273	00:00:11.759	11.759								left									AGREEMENT WITH SPACE											
00:00:58.996	58.996	00:01:00.063	60.063	00:00:01.067	1.067								left	up						EMPHASIS		AGREEMENT WITH SPACE											
00:01:00.077	60.077	00:01:00.587	60.587	00:00:00.510	0.51					left			left	down						NF		AGREEMENT WITH SPACE					AGREEMENT WITH SPACE						
00:01:11.455	71.455	00:01:11.975	71.975	00:00:00.520	0.52							forward x		up						EMPHASIS	EMPHASIS												
00:01:11.994	71.994	00:01:12.274	72.274	00:00:00.280	0.28									down						NF													
00:01:12.285	72.285	00:01:12.525	72.525	00:00:00.240	0.24							forward		up						EMPHASIS	EMPHASIS												
00:01:12.540	72.54	00:01:12.780	72.78	00:00:00.240	0.24							forward		down		b				NF	EMPHASIS								BREAK				
00:01:14.008	74.008	00:01:14.288	74.288	00:00:00.280	0.28	b					right			up		a				EMPHASIS								AGREEMENT WITH SPACE	EMPHASIS			EMPHASIS	
00:01:14.302	74.302	00:01:14.502	74.502	00:00:00.200	0.2	b		down				forward		down		a				NF	MANNER				NF				EMPHASIS			EMPHASIS	
00:01:14.527	74.527	00:01:14.807	74.807	00:00:00.280	0.28	b		down			left	forward		up		a				LISTING	MANNER				NF			RS	EMPHASIS			EMPHASIS	
00:01:14.821	74.821	00:01:14.941	74.941	00:00:00.120	0.12						left	forward		down						NF	MANNER							RS					
00:01:14.958	74.958	00:01:15.158	75.158	00:00:00.200	0.2						left	forward		up						LISTING	MANNER							RS					
00:01:15.174	75.174	00:01:15.734	75.734	00:00:00.560	0.56			down			left			down						NF					IGNORE			RS					
00:01:15.759	75.759	00:01:16.279	76.279	00:00:00.520	0.52						left			up		b				LISTING								RS	CA				
00:01:16.298	76.298	00:01:16.458	76.458	00:00:00.160	0.16			down			left	forward		down		b				NF	LISTING				NF			RS	CA				
00:01:16.922	76.922	00:01:17.282	77.282	00:00:00.360	0.36						left			up		b				LISTING								RS	CA				
00:01:17.304	77.304	00:01:17.584	77.584	00:00:00.280	0.28						left	forward		down		b				NF	LISTING							RS	CA				
00:01:22.054	82.054	00:01:23.977	83.977	00:00:01.923	1.923									up						GESTURAL													
00:01:23.996	83.996	00:01:24.476	84.476	00:00:00.480	0.48						right			down						NF								AGREEMENT WITH SPACE					
00:01:31.350	91.35	00:01:31.710	91.71	00:00:00.360	0.36			down x			right			up		b		c		EMPHASIS					BREAK			coordination/contrast	AFFECTIVE	CONTRAST			
00:01:31.723	91.723	00:01:32.123	92.123	00:00:00.400	0.4						right			down		b		c		NF								coordination/contrast	AFFECTIVE	CONTRAST			
00:01:37.273	97.273	00:01:38.073	98.073	00:00:00.800	0.8									up		b				EMPHASIS									COGNITIVE				
00:01:38.097	98.097	00:01:38.377	98.377	00:00:00.280	0.28									down		b				NF									COGNITIVE				
00:01:38.411	98.411	00:01:38.771	98.771	00:00:00.360	0.36				forward					up		b				LEXICAL						ASKING FOR CONFIRMATION			COGNITIVE				
00:01:38.803	98.803	00:01:39.083	99.083	00:00:00.280	0.28									down	right	b				NF			CONTRAST						COGNITIVE				
00:01:52.205	112.205	00:01:52.965	112.965	00:00:00.760	0.76					right	right			up						EMPHASIS							AGREEMENT WITH SPACE + CONTRAST	CONTRAST					
00:01:52.989	112.989	00:01:53.309	113.309	00:00:00.320	0.32						right			down						NF								CONTRAST					
00:01:53.652	113.652	00:01:54.056	114.056	00:00:00.404	0.404					left	right			up						LEXICAL							AGREEMENT WITH SPACE+ COGNITIVE	CONTRAST					
00:01:54.075	114.075	00:01:54.450	114.45	00:00:00.375	0.375					left	right			down						NF							AGREEMENT WITH SPACE+ COGNITIVE	CONTRAST					
00:01:55.599	115.599	00:01:57.579	117.579	00:00:01.980	1.98					left				up						EMPHASIS							AGREEMENT WITH SPACE+ COGNITIVE						
00:01:57.599	117.599	00:01:57.887	117.887	00:00:00.288	0.288			up	back	left	left			down	left					NF			COGNITIVE		EASE OF PRODUCTION	FOCUS 	AGREEMENT WITH SPACE+ COGNITIVE	coordination/contrast					
00:02:28.371	148.371	00:02:28.851	148.851	00:00:00.480	0.48						left		left	up						EMPHASIS		AGREEMENT WITH SPACE						coordination/contrast					
00:02:28.871	148.871	00:02:29.471	149.471	00:00:00.600	0.6			down			left		left	down						NF		AGREEMENT WITH SPACE			IP BOUNDARY			coordination/contrast					
00:01:38.456	98.456	00:01:38.763	98.763	00:00:00.307	0.307				forward					up	left	b				LEXICAL			CONTRAST			ASKING FOR CONFIRMATION			COGNITIVE				
00:01:38.782	98.782	00:01:39.215	99.215	00:00:00.433	0.433										right	b							CONTRAST						COGNITIVE				
00:01:39.976	99.976	00:01:48.591	108.591	00:00:08.615	8.615										left								AGREEMENT WITH SPACE+CONTRAST										
00:01:48.610	108.61	00:01:49.793	109.793	00:00:01.183	1.183					right	right				right								CONTRAST				AGREEMENT WITH SPACE + CONTRAST	CONTRAST					
00:01:56.830	116.83	00:02:03.378	123.378	00:00:06.548	6.548										left								COGNITIVE										
00:02:03.402	123.402	00:02:06.652	126.652	00:00:03.250	3.25										right								TEMPORAL???										
00:02:35.284	155.284	00:02:38.246	158.246	00:00:02.962	2.962										left								RS										
00:02:38.802	158.802	00:02:39.762	159.762	00:00:00.960	0.96	b									left			c					RS							CA		CA	
00:02:39.783	159.783	00:02:40.623	160.623	00:00:00.840	0.84	b									right			c					NF							CA		CA	
00:02:41.112	161.112	00:02:41.842	161.842	00:00:00.730	0.73										right			c					LISTING							CA			
00:02:41.929	161.929	00:02:42.775	162.775	00:00:00.846	0.846										right								LISTING										
00:02:42.804	162.804	00:02:43.275	163.275	00:00:00.471	0.471										left								LISTING										
00:02:43.299	163.299	00:02:43.578	163.578	00:00:00.279	0.279										right								NF										
00:02:44.323	164.323	00:02:44.803	164.803	00:00:00.480	0.48										right			b					CA							AFFECTIVE			
00:02:44.823	164.823	00:02:45.150	165.15	00:00:00.327	0.327										left								CA										
00:00:47.884	47.884	00:00:49.269	49.269	00:00:01.385	1.385											c													GESTURAL				
00:00:53.903	53.903	00:00:54.383	54.383	00:00:00.480	0.48					left			left	up		c				EMPHASIS		AGREEMENT WITH SPACE					AGREEMENT WITH SPACE		EMPHASIS				
00:01:03.982	63.982	00:01:04.622	64.622	00:00:00.640	0.64							forward	left x			c					COORDINATION	AGREEMENT WITH SPACE							ASSERTION				
00:01:06.203	66.203	00:01:10.483	70.483	00:00:04.280	4.28							forward	left x			d					COORDINATION	AGREEMENT WITH SPACE							EMPHASIS				
00:01:12.383	72.383	00:01:12.783	72.783	00:00:00.400	0.4							forward				b					EMPHASIS								BREAK				
00:01:13.103	73.103	00:01:14.823	74.823	00:00:01.720	1.72											a													EMPHASIS				
00:01:15.690	75.69	00:01:18.170	78.17	00:00:02.480	2.48											b													CA				
00:01:22.321	82.321	00:01:23.949	83.949	00:00:01.628	1.628									up		d				GESTURAL									EMPHASIS				
00:01:25.263	85.263	00:01:27.663	87.663	00:00:02.400	2.4											c													CONTRAST				
00:01:31.250	91.25	00:01:32.210	92.21	00:00:00.960	0.96						right					b		c										coordination/contrast	AFFECTIVE	CONTRAST			
00:01:32.229	92.229	00:01:33.949	93.949	00:00:01.720	1.72						right					a		b										coordination/contrast	COORDINATION	AFFECTIVE			
00:01:35.384	95.384	00:01:39.264	99.264	00:00:03.880	3.88											b													COGNITIVE				
00:01:40.118	100.118	00:01:40.958	100.958	00:00:00.840	0.84					left					left	c							AGREEMENT WITH SPACE+CONTRAST				AGREEMENT WITH SPACE		IP BOUNDARY				
00:01:48.772	108.772	00:01:52.332	112.332	00:00:03.560	3.56					right	right					c											AGREEMENT WITH SPACE + CONTRAST	CONTRAST	EMPHASIS				
00:01:54.757	114.757	00:01:56.997	116.997	00:00:02.240	2.24					left						c											AGREEMENT WITH SPACE+ COGNITIVE		TOPIC 				
00:02:02.988	122.988	00:02:04.228	124.228	00:00:01.240	1.24											c													COGNITIVE				
00:02:04.737	124.737	00:02:05.337	125.337	00:00:00.600	0.6						right				right	b							TEMPORAL???					coordination/contrast	EMPHASIS				
00:02:09.569	129.569	00:02:10.329	130.329	00:00:00.760	0.76								left			c						AGREEMENT WITH SPACE							TOPIC/EMPHASIS				
00:02:13.759	133.759	00:02:14.479	134.479	00:00:00.720	0.72						left					c												coordination/contrast	LEXICAL				
00:02:15.134	135.134	00:02:16.614	136.614	00:00:01.480	1.48						left					b												coordination/contrast	COGNITIVE				
00:02:19.750	139.75	00:02:20.670	140.67	00:00:00.920	0.92						right					a												coordination/contrast	EMPHASIS				
00:02:25.982	145.982	00:02:26.662	146.662	00:00:00.680	0.68								left			c		b				AGREEMENT WITH SPACE							TOPIC	AFFECTIVE			
00:02:32.080	152.08	00:02:32.600	152.6	00:00:00.520	0.52						left		left			d						AGREEMENT WITH SPACE						coordination/contrast	EMPHASIS				
00:02:36.656	156.656	00:02:37.696	157.696	00:00:01.040	1.04					right	left				left	b							RS				RS	coordination/contrast	QUESTION Y/N				
00:02:39.892	159.892	00:02:41.372	161.372	00:00:01.480	1.48											c		c											QUESTION Y/N	CA			
00:01:46.681	106.681	00:01:47.241	107.241	00:00:00.560	0.56					left	left				left		e						AGREEMENT WITH SPACE+CONTRAST				AGREEMENT WITH SPACE + CONTRAST	CONTRAST			COGNITIVE		
00:00:47.913	47.913	00:00:48.836	48.836	00:00:00.923	0.923											c		c											GESTURAL	AFFECTIVE			
00:00:49.115	49.115	00:00:49.682	49.682	00:00:00.567	0.567													c												AFFECTIVE			
00:00:55.866	55.866	00:00:56.586	56.586	00:00:00.720	0.72													c	hn					AFFIRMATION						EMPHASIS			
00:01:07.858	67.858	00:01:09.298	69.298	00:00:01.440	1.44							forward	left x			d		c			COORDINATION	AGREEMENT WITH SPACE							EMPHASIS	EMPHASIS			
00:01:18.026	78.026	00:01:18.826	78.826	00:00:00.800	0.8							back						b			NF									QUESTION-WH			
00:01:19.162	79.162	00:01:22.322	82.322	00:00:03.160	3.16													b												EMPHASIS			
00:01:24.011	84.011	00:01:27.091	87.091	00:00:03.080	3.08													b												AFFECTIVE			
00:01:27.654	87.654	00:01:32.214	92.214	00:00:04.560	4.56													c												CONTRAST			
00:01:48.921	108.921	00:01:50.041	110.041	00:00:01.120	1.12			down		right	right					c		b							emphasis/agreement with space		AGREEMENT WITH SPACE + CONTRAST	CONTRAST	EMPHASIS	IP			
00:01:58.992	118.992	00:02:00.313	120.313	00:00:01.321	1.321					left	left				left			c					COGNITIVE				AGREEMENT WITH SPACE+ COGNITIVE	coordination/contrast		NEGATION			
00:02:00.335	120.335	00:02:03.375	123.375	00:00:03.040	3.04						left				left			b					COGNITIVE					coordination/contrast		SHARED INFORMATION			
00:02:29.763	149.763	00:02:31.563	151.563	00:00:01.800	1.8						left		left					c				AGREEMENT WITH SPACE						coordination/contrast		EMPHASIS			
00:02:35.173	155.173	00:02:37.414	157.414	00:00:02.241	2.241					right	left							b									RS	coordination/contrast		CA			
00:02:37.447	157.447	00:02:42.607	162.607	00:00:05.160	5.16													c												CA			
00:02:43.645	163.645	00:02:44.965	164.965	00:00:01.320	1.32													b												AFFECTIVE			
00:00:51.355	51.355	00:00:52.085	52.085	00:00:00.730	0.73					left	left								hn					BREAK			AGREEMENT WITH SPACE	AGREEMENT WITH SPACE					
00:00:54.412	54.412	00:00:55.268	55.268	00:00:00.856	0.856					left			left	up					hn	EMPHASIS		AGREEMENT WITH SPACE		AFFIRMATION			AGREEMENT WITH SPACE						
00:00:55.831	55.831	00:00:56.879	56.879	00:00:01.048	1.048														hn					AFFIRMATION									
00:01:04.297	64.297	00:01:04.960	64.96	00:00:00.663	0.663			down				forward	left x						hs		COORDINATION	AGREEMENT WITH SPACE		IGNORE	BREAK								
00:01:07.744	67.744	00:01:08.590	68.59	00:00:00.846	0.846							forward	left x			d			hs		COORDINATION	AGREEMENT WITH SPACE		IGNORE					EMPHASIS				
00:01:15.288	75.288	00:01:15.894	75.894	00:00:00.606	0.606						left								hs					NEGATION				RS					
00:02:03.765	123.765	00:02:04.495	124.495	00:00:00.730	0.73						right				right				hn				TEMPORAL???	BREAK				coordination/contrast					
00:02:20.860	140.86	00:02:21.860	141.86	00:00:01.000	1.0						right								hs					NEGATION				coordination/contrast					
00:02:22.821	142.821	00:02:23.580	143.58	00:00:00.759	0.759						right								hs					NEGATION				coordination/contrast					
00:02:25.322	145.322	00:02:26.024	146.024	00:00:00.702	0.702						right		left						hs			AGREEMENT WITH SPACE		IGNORE				coordination/contrast					
00:02:31.318	151.318	00:02:32.452	152.452	00:00:01.134	1.134						left		left						hn			AGREEMENT WITH SPACE		IGNORE				coordination/contrast					
00:01:03.879	63.879	00:01:04.443	64.443	00:00:00.564	0.564							forward	left x								COORDINATION	AGREEMENT WITH SPACE					ASSERTION						
00:01:07.541	67.541	00:01:07.901	67.901	00:00:00.360	0.36							forward	left x			d					COORDINATION	AGREEMENT WITH SPACE					NEGATION		EMPHASIS				
