Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	upper lid raiser	lid tightener	head up/down	head forward/back	head left/right	head tilt left/right	torso forward/back	torso left/right	torso up/down	torso tilt left/right	brow raise	closed eyes	brow lowerer	head nod	TORSO UP/DOWN FUNCTIONS M	TORSO FORWARD/BACK FUNCTIONS M	TORSO LEFT/RIGHT FUNCTIONS M	TORSO TILT left/right FUNCTIONS M	HEAD NOD FUNCTIONS M	HEAD UP/DOWN FUNCTIONS M	HEAD FORWARD/BACK FUNCTIONS M	HEAD LEFT/RIGHT FUNCTIONS M	HEAD TILT LEFT/RIGHT FUNCTIONS M	BROW RAISE FUNCTIONS M	BROW LOWERER FUNCTIONS M	CLOSED EYES FUNCTIONS M	UPPER LID RAISER FUNCTIONS M	LID TIGHTENER FUNCTIONS M	
00:02:45.597	165.597	00:02:46.117	166.117	00:00:00.520	0.52	b			back x			back			left						EMPHASIS		AGREEMENT WITH SPACE			EMPHASIS						EMPHASIS	
00:02:46.136	166.136	00:02:46.536	166.536	00:00:00.400	0.4	b			forward	left																TOPIC	NF					EMPHASIS	
00:00:45.980	45.98	00:00:47.340	47.34	00:00:01.360	1.36					right																	CONTRAST						
00:00:47.412	47.412	00:00:48.572	48.572	00:00:01.160	1.16					left																	CONTRAST						
00:00:48.602	48.602	00:00:49.162	49.162	00:00:00.560	0.56					right						c											CONTRAST		GESTURAL				
00:00:49.181	49.181	00:00:49.661	49.661	00:00:00.480	0.48					left								c									NF			AFFECTIVE			
00:00:50.588	50.588	00:00:55.366	55.366	00:00:04.778	4.778					left																	AGREEMENT WITH SPACE						
00:00:55.371	55.371	00:00:55.931	55.931	00:00:00.560	0.56					right																	NF						
00:00:55.960	55.96	00:00:56.880	56.88	00:00:00.920	0.92					left																	EMPHASIS						
00:00:59.028	59.028	00:01:03.868	63.868	00:00:04.840	4.84					left																	AGREEMENT WITH SPACE						
00:01:03.879	63.879	00:01:04.439	64.439	00:00:00.560	0.56					right		forward	left x								COORDINATION	AGREEMENT WITH SPACE					ASSERTION						
00:01:04.477	64.477	00:01:04.917	64.917	00:00:00.440	0.44			down		left		forward	left x						hs		COORDINATION	AGREEMENT WITH SPACE		IGNORE	BREAK		ASSERTION						
00:01:05.244	65.244	00:01:05.484	65.484	00:00:00.240	0.24			up		right		forward	left x								COORDINATION	AGREEMENT WITH SPACE			TOPIC		EMPHASIS						
00:01:05.510	65.51	00:01:06.150	66.15	00:00:00.640	0.64			up		left		forward	left x								COORDINATION	AGREEMENT WITH SPACE			TOPIC		AGREEMENT WITH SPACE						
00:01:07.542	67.542	00:01:07.902	67.902	00:00:00.360	0.36					right		forward	left x			d					COORDINATION	AGREEMENT WITH SPACE							EMPHASIS				
00:01:07.915	67.915	00:01:08.244	68.244	00:00:00.329	0.329	b				left		forward	left x			d		c	hs		COORDINATION	AGREEMENT WITH SPACE		IGNORE			NEGATION		EMPHASIS	EMPHASIS		EMPHASIS	
00:01:15.330	75.33	00:01:15.610	75.61	00:00:00.280	0.28			down		left	left			down					hs	NF				NEGATION	IGNORE		NEGATION	RS					
00:01:15.634	75.634	00:01:16.074	76.074	00:00:00.440	0.44					right	left																NEGATION	RS					
00:01:16.105	76.105	00:01:16.385	76.385	00:00:00.280	0.28	c				left	left	forward				b					LISTING						NEGATION	RS	CA			EMPHASIS	
00:01:26.485	86.485	00:01:28.058	88.058	00:00:01.573	1.573					right			right									CONTRAST					CONTRAST						
00:01:28.061	88.061	00:01:28.421	88.421	00:00:00.360	0.36			down		left	left							c							AGREEMENT WITH SPACE		CONTRAST	AGREEMENT WITH SPACE		CONTRAST			
00:01:37.034	97.034	00:01:37.354	97.354	00:00:00.320	0.32					right						b											COGNITIVE		COGNITIVE				
00:01:37.367	97.367	00:01:38.367	98.367	00:00:01.000	1.0					left						b											NF		COGNITIVE				
00:01:39.836	99.836	00:01:41.436	101.436	00:00:01.600	1.6					left																	AGREEMENT WITH SPACE						
00:01:41.463	101.463	00:01:44.543	104.543	00:00:03.080	3.08					right	left				left								AGREEMENT WITH SPACE+CONTRAST				COGNITIVE + PARANTHETICAL	CONTRAST					
00:01:44.575	104.575	00:01:48.575	108.575	00:00:04.000	4.0					left					left								AGREEMENT WITH SPACE+CONTRAST				AGREEMENT WITH SPACE + CONTRAST						
00:01:48.594	108.594	00:01:53.216	113.216	00:00:04.622	4.622					right	right																AGREEMENT WITH SPACE + CONTRAST	CONTRAST					
00:01:53.232	113.232	00:02:03.340	123.34	00:00:10.108	10.108					left																	AGREEMENT WITH SPACE+ COGNITIVE						
00:02:03.358	123.358	00:02:04.318	124.318	00:00:00.960	0.96					right																	TEMPORAL						
00:02:04.339	124.339	00:02:04.979	124.979	00:00:00.640	0.64			up		left	right				right								TEMPORAL???		TOPIC		NF	coordination/contrast					
00:02:07.893	127.893	00:02:08.813	128.813	00:00:00.920	0.92					right																	AGREEMENT WITH SPACE						
00:02:08.834	128.834	00:02:09.434	129.434	00:00:00.600	0.6					left																	NF						
00:02:11.949	131.949	00:02:12.309	132.309	00:00:00.360	0.36					left																	CA						
00:02:12.331	132.331	00:02:12.691	132.691	00:00:00.360	0.36			down		right															CA		CA						
00:02:12.704	132.704	00:02:13.024	133.024	00:00:00.320	0.32			down		left															CA		CA						
00:02:20.635	140.635	00:02:21.155	141.155	00:00:00.520	0.52					right	right																IGNORE	coordination/contrast					
00:02:21.174	141.174	00:02:21.814	141.814	00:00:00.640	0.64					left	right								hs					NEGATION			IGNORE	coordination/contrast					
00:02:22.293	142.293	00:02:22.933	142.933	00:00:00.640	0.64					right	right																IGNORE	coordination/contrast					
00:02:22.960	142.96	00:02:24.200	144.2	00:00:01.240	1.24					left	right																AGREEMENT WITH SPACE	coordination/contrast					
00:02:25.167	145.167	00:02:25.527	145.527	00:00:00.360	0.36			down		left	right	forward	left								IP BOUNDARY	AGREEMENT WITH SPACE			BREAK		NEGATION	coordination/contrast					
00:02:25.540	145.54	00:02:26.020	146.02	00:00:00.480	0.48					right	right		left						hs			AGREEMENT WITH SPACE		IGNORE			NEGATION	coordination/contrast					
00:02:34.008	154.008	00:02:37.842	157.842	00:00:03.834	3.834					right	left																RS	coordination/contrast					
00:02:37.858	157.858	00:02:38.218	158.218	00:00:00.360	0.36					left					left			c					RS				EASE OF PRODUCTION			CA			
00:02:45.089	165.089	00:02:45.969	165.969	00:00:00.880	0.88					right																	AGREEMENT WITH SPACE						
00:02:45.981	165.981	00:02:46.621	166.621	00:00:00.640	0.64	b				left																	NF					EMPHASIS	
00:00:46.328	46.328	00:00:47.408	47.408	00:00:01.080	1.08						right																	EMPHASIS+CONTRAST					
00:00:47.426	47.426	00:00:48.746	48.746	00:00:01.320	1.32						left																	CONTRAST					
00:00:48.769	48.769	00:00:49.569	49.569	00:00:00.800	0.8						right																	CONTRAST					
00:00:49.592	49.592	00:00:49.792	49.792	00:00:00.200	0.2			down			left														BREAK			NF					
00:00:50.102	50.102	00:00:53.462	53.462	00:00:03.360	3.36						left																	AGREEMENT WITH SPACE					
00:00:53.484	53.484	00:00:53.884	53.884	00:00:00.400	0.4					left	right		left	up						EMPHASIS		AGREEMENT WITH SPACE					AGREEMENT WITH SPACE	NF					
00:00:55.866	55.866	00:00:56.386	56.386	00:00:00.520	0.52						left							c	hn					AFFIRMATION				EMPHASIS		EMPHASIS			
00:00:56.421	56.421	00:00:57.152	57.152	00:00:00.731	0.731			up			right														IGNORE			NF					
00:00:57.170	57.17	00:00:57.334	57.334	00:00:00.164	0.164			up			left														IGNORE			NF					
00:00:58.233	58.233	00:00:59.021	59.021	00:00:00.788	0.788			up			left														EMPHASIS			NF					
00:00:59.031	59.031	00:00:59.310	59.31	00:00:00.279	0.279					left	right		left	up						EMPHASIS		AGREEMENT WITH SPACE					AGREEMENT WITH SPACE	NF					
00:01:01.776	61.776	00:01:02.910	62.91	00:00:01.134	1.134					left	left	forward	left x								COORDINATION	AGREEMENT WITH SPACE					AGREEMENT WITH SPACE	AGREEMENT WITH SPACE					
